comment,label
Dannam assayo okkama gihin iwarai ...wahuwata wadakna..oya 225 wayasaa set eka parissam karaganna,Negative
hithan inne uta minissu kamati kiyala miharakek ..dan moda minissu na me gon nambata chande denna,Negative
Boru karayo meparath giya pAra giya wage thama gdra yanne wenne thopita chandea dunna Apata hena ghanne ona,Negative
Me siyalla dath. Hambanthota Varya vikunana kota ranil hamu langa keekaruwa natta wanawana hitapuvidiya ratama dekka.,Negative
Eka supiri wadak i like it,Positive
Budu saranai oyala dannata,Positive
Parlimentuwe sitiya yuthuma mantreewarayek,Positive
Wikinime ha badu dime athare wenas nodath tawath 69 lakshe harakek,Negative
Hoda mahathmayek. Den wahallek.. Theendu theerana ganna ona welawe ganna boruwata post share karanne nethuwa. Sahodariyage hadatawath ehumkan deenna,Negative
Mewa gena Kiya Kiya enna epa... Araksha karagana...wehera vihara godanagapalla..... Api udau karannam,Positive
Theruwan saranai oba thumata ethumiyat,Positive
Anith Ratawal Corona wali thamange janathawa beraganna balanawa ape un thama sakachcha karanawa kohoma hari ahinsaka minissunta katbod pettiya lasthi kara,Negative
Cool down ranja sathya jayagani lagadima,Positive
Lassana hadawathak thiyana nayakayak,
Oba depalata api hamadamath hisa nama achara krnwa.,Positive
Oba weni soduru nayakayan sitinam ada mea rata methana newei thiyenne apita penne sebe agamathi oba lesai,Positive
Obatumagan idiri gamanata suba patum.,Positive
Eala eala niroshan,Positive
Adambarai sahodaraya,Positive
ne endanam epa pohottuwata. Mala wade. Avith minissunge mole kachal nokara ohoma inda,Negative
Meeting nam onatharam,Negative
"Petrol shed wala thel gahapu ewun rate nayakayo wela minissunge Salli horakan karapuwahama,me wage gobba wada karanna wenawa, Rate minissu marunata munta wadak na,munge ilakkaya moda bayyo rawattala thawa Salli horakan eka",Negative
Kathawa nathara karala weda karala pennanako.chande deepu apatama epawela inne den,Negative
Muge deshapalaneth iwarai wage,Negative
Jayawewa sahodara waruni,Positive
Aadaraneeya hadawathak,Positive
"Mohunam maha puduma charithayak.obe mawta salakana pinen obata deegayu labewi.minisun athra minipahanak wewi.obatath,maniyantath thunuruwange saranai .",Positive
Ane oyawage Aya onemane...,Positive
deshapalana malagama,Negative
Jayawewa!!!!,Positive
Harima lassana minissu inna paulak.... rata ta sewaya kala family ekak.,Positive
Ane itin api me athmeth hambukaranawa ogolonnata sapa vidinnna labana athmeth atha pana kota api ma epaye rupiyalak wath denna athhatama pau lankawe moda minissu,Negative
Ane palayan ban yanna uba danna sanwardane .kohe hari liyala thiyaganin thawa auridu 10 k withra gihilla balapan. meharaka. Ubadanna sanwardane gon athal dennathuwa pata kannadiya galawala balapan. Gon wassa. Horu hadapu ratawal Koheda loke thiyenna kiyala,Negative
Ratama wanasala dan visadum hoyanawa,Negative
Apa ratata ahimi Wu maanawa waadhiyaa ohui.,Positive
Oba thumata pin sidda wenna ada api mehemawath kaala endala innawa. Anura Kumara president una nam apita Bangaladesh walinuth hinga kanna wenawa.,Positive
